rho [kg/m3], e [J/kg], P [Pa] 
80.27231, 406115.44126, 1379056.21622 
80.12889, 406084.70990, 1377426.12613 
79.98567, 406053.94694, 1375796.03604 
79.84264, 406023.15230, 1374165.94595 
79.69980, 405992.32591, 1372535.85586 
79.55716, 405961.46769, 1370905.76577 
79.41472, 405930.57755, 1369275.67568 
79.27246, 405899.65542, 1367645.58559 
79.13041, 405868.70121, 1366015.49550 
78.98854, 405837.71486, 1364385.40541 
78.84686, 405806.69626, 1362755.31532 
78.70538, 405775.64535, 1361125.22523 
78.56409, 405744.56204, 1359495.13514 
78.42299, 405713.44625, 1357865.04505 
78.28208, 405682.29790, 1356234.95495 
78.14135, 405651.11691, 1354604.86486 
78.00082, 405619.90319, 1352974.77477 
77.86048, 405588.65665, 1351344.68468 
77.72033, 405557.37723, 1349714.59459 
77.58036, 405526.06482, 1348084.50450 
77.44058, 405494.71935, 1346454.41441 
77.30099, 405463.34074, 1344824.32432 
77.16158, 405431.92890, 1343194.23423 
77.02237, 405400.48374, 1341564.14414 
76.88333, 405369.00517, 1339934.05405 
76.74449, 405337.49312, 1338303.96396 
76.60582, 405305.94750, 1336673.87387 
76.46735, 405274.36821, 1335043.78378 
76.32905, 405242.75518, 1333413.69369 
76.19094, 405211.10831, 1331783.60360 
76.05302, 405179.42752, 1330153.51351 
75.91527, 405147.71272, 1328523.42342 
75.77771, 405115.96383, 1326893.33333 
75.64033, 405084.18074, 1325263.24324 
75.50313, 405052.36338, 1323633.15315 
75.36612, 405020.51166, 1322003.06306 
75.22928, 404988.62548, 1320372.97297 
75.09262, 404956.70476, 1318742.88288 
74.95615, 404924.74940, 1317112.79279 
74.81985, 404892.75931, 1315482.70270 
74.68373, 404860.73441, 1313852.61261 
74.54779, 404828.67460, 1312222.52252 
74.41203, 404796.57980, 1310592.43243 
74.27645, 404764.44990, 1308962.34234 
74.14104, 404732.28481, 1307332.25225 
74.00582, 404700.08445, 1305702.16216 
73.87076, 404667.84872, 1304072.07207 
73.73589, 404635.57753, 1302441.98198 
73.60119, 404603.27077, 1300811.89189 
73.46666, 404570.92859, 1299181.80180 
73.33231, 404538.55044, 1297551.71171 
73.19813, 404506.13644, 1295921.62162 
73.06413, 404473.68651, 1294291.53153 
72.93030, 404441.20055, 1292661.44144 
72.79665, 404408.67845, 1291031.35135 
72.66316, 404376.12013, 1289401.26126 
72.52985, 404343.52549, 1287771.17117 
72.39671, 404310.89443, 1286141.08108 
72.26375, 404278.22685, 1284510.99099 
72.13095, 404245.52266, 1282880.90090 
71.99833, 404212.78175, 1281250.81081 
71.86587, 404180.00403, 1279620.72072 
71.73359, 404147.18940, 1277990.63063 
71.60147, 404114.33775, 1276360.54054 
71.46953, 404081.44900, 1274730.45045 
71.33775, 404048.52303, 1273100.36036 
71.20614, 404015.55975, 1271470.27027 
71.07470, 403982.55906, 1269840.18018 
70.94343, 403949.52085, 1268210.09009 
70.81233, 403916.44502, 1266580.00000 
70.68139, 403883.33148, 1264949.90991 
70.55062, 403850.18011, 1263319.81982 
70.42001, 403816.99081, 1261689.72973 
70.28957, 403783.76349, 1260059.63964 
70.15930, 403750.49803, 1258429.54955 
70.02919, 403717.19434, 1256799.45946 
69.89924, 403683.85230, 1255169.36937 
69.76946, 403650.47181, 1253539.27928 
69.63984, 403617.05278, 1251909.18919 
69.51039, 403583.59508, 1250279.09910 
69.38110, 403550.09861, 1248649.00901 
69.25197, 403516.56328, 1247018.91892 
69.12301, 403482.98896, 1245388.82883 
68.99420, 403449.37555, 1243758.73874 
68.86556, 403415.72295, 1242128.64865 
68.73708, 403382.03105, 1240498.55856 
68.60876, 403348.29972, 1238868.46847 
68.48060, 403314.52888, 1237238.37838 
68.35260, 403280.71840, 1235608.28829 
68.22476, 403246.86818, 1233978.19820 
68.09708, 403212.97811, 1232348.10811 
67.96956, 403179.04807, 1230718.01802 
67.84220, 403145.07795, 1229087.92793 
67.71500, 403111.06764, 1227457.83784 
67.58795, 403077.01703, 1225827.74775 
67.46106, 403042.92601, 1224197.65766 
67.33433, 403008.79445, 1222567.56757 
67.20776, 402974.62225, 1220937.47748 
67.08134, 402940.40930, 1219307.38739 
66.95508, 402906.15547, 1217677.29730 
66.82897, 402871.86066, 1216047.20721 
66.70302, 402837.52475, 1214417.11712 
66.57722, 402803.14761, 1212787.02703 
66.45158, 402768.72914, 1211156.93694 
66.32610, 402734.26922, 1209526.84685 
66.20077, 402699.76772, 1207896.75676 
66.07559, 402665.22454, 1206266.66667 
65.95056, 402630.63954, 1204636.57658 
65.82569, 402596.01262, 1203006.48649 
65.70097, 402561.34366, 1201376.39640 
65.57640, 402526.63253, 1199746.30631 
65.45199, 402491.87911, 1198116.21622 
65.32772, 402457.08328, 1196486.12613 
65.20361, 402422.24493, 1194856.03604 
65.07965, 402387.36392, 1193225.94595 
64.95584, 402352.44014, 1191595.85586 
64.83218, 402317.47346, 1189965.76577 
64.70867, 402282.46376, 1188335.67568 
64.58531, 402247.41091, 1186705.58559 
64.46209, 402212.31480, 1185075.49550 
64.33903, 402177.17529, 1183445.40541 
64.21612, 402141.99226, 1181815.31532 
64.09335, 402106.76558, 1180185.22523 
63.97073, 402071.49513, 1178555.13514 
63.84826, 402036.18079, 1176925.04505 
63.72594, 402000.82241, 1175294.95495 
63.60376, 401965.41988, 1173664.86486 
63.48173, 401929.97306, 1172034.77477 
63.35985, 401894.48183, 1170404.68468 
63.23811, 401858.94606, 1168774.59459 
63.11652, 401823.36561, 1167144.50450 
62.99507, 401787.74036, 1165514.41441 
62.87377, 401752.07017, 1163884.32432 
62.75261, 401716.35491, 1162254.23423 
62.63160, 401680.59446, 1160624.14414 
62.51073, 401644.78866, 1158994.05405 
62.39001, 401608.93741, 1157363.96396 
62.26942, 401573.04054, 1155733.87387 
62.14898, 401537.09795, 1154103.78378 
62.02869, 401501.10948, 1152473.69369 
61.90853, 401465.07500, 1150843.60360 
61.78852, 401428.99438, 1149213.51351 
61.66865, 401392.86748, 1147583.42342 
61.54892, 401356.69416, 1145953.33333 
61.42934, 401320.47428, 1144323.24324 
61.30989, 401284.20771, 1142693.15315 
61.19058, 401247.89430, 1141063.06306 
61.07142, 401211.53392, 1139432.97297 
60.95239, 401175.12642, 1137802.88288 
60.83351, 401138.67167, 1136172.79279 
60.71476, 401102.16951, 1134542.70270 
60.59615, 401065.61982, 1132912.61261 
60.47768, 401029.02244, 1131282.52252 
60.35935, 400992.37724, 1129652.43243 
60.24116, 400955.68406, 1128022.34234 
60.12310, 400918.94277, 1126392.25225 
60.00518, 400882.15321, 1124762.16216 
59.88740, 400845.31525, 1123132.07207 
59.76976, 400808.42873, 1121501.98198 
59.65225, 400771.49351, 1119871.89189 
59.53488, 400734.50945, 1118241.80180 
59.41765, 400697.47638, 1116611.71171 
59.30055, 400660.39417, 1114981.62162 
59.18358, 400623.26265, 1113351.53153 
59.06675, 400586.08170, 1111721.44144 
58.95006, 400548.85114, 1110091.35135 
58.83350, 400511.57083, 1108461.26126 
58.71707, 400474.24062, 1106831.17117 
58.60078, 400436.86035, 1105201.08108 
58.48462, 400399.42987, 1103570.99099 
58.36860, 400361.94902, 1101940.90090 
58.25271, 400324.41766, 1100310.81081 
58.13695, 400286.83562, 1098680.72072 
58.02132, 400249.20275, 1097050.63063 
57.90583, 400211.51888, 1095420.54054 
57.79046, 400173.78388, 1093790.45045 
57.67523, 400135.99756, 1092160.36036 
57.56013, 400098.15978, 1090530.27027 
57.44516, 400060.27037, 1088900.18018 
57.33033, 400022.32918, 1087270.09009 
57.21562, 399984.33604, 1085640.00000 
57.10104, 399946.29079, 1084009.90991 
56.98659, 399908.19327, 1082379.81982 
56.87227, 399870.04331, 1080749.72973 
56.75809, 399831.84075, 1079119.63964 
56.64403, 399793.58542, 1077489.54955 
56.53010, 399755.27717, 1075859.45946 
56.41629, 399716.91581, 1074229.36937 
56.30262, 399678.50119, 1072599.27928 
56.18907, 399640.03314, 1070969.18919 
56.07565, 399601.51148, 1069339.09910 
55.96236, 399562.93605, 1067709.00901 
55.84920, 399524.30668, 1066078.91892 
55.73616, 399485.62320, 1064448.82883 
55.62325, 399446.88543, 1062818.73874 
55.51046, 399408.09321, 1061188.64865 
55.39781, 399369.24635, 1059558.55856 
55.28527, 399330.34469, 1057928.46847 
55.17287, 399291.38805, 1056298.37838 
55.06058, 399252.37625, 1054668.28829 
54.94843, 399213.30912, 1053038.19820 
54.83639, 399174.18648, 1051408.10811 
54.72448, 399135.00815, 1049778.01802 
54.61270, 399095.77395, 1048147.92793 
54.50104, 399056.48370, 1046517.83784 
54.38950, 399017.13723, 1044887.74775 
54.27809, 398977.73435, 1043257.65766 
54.16680, 398938.27487, 1041627.56757 
54.05563, 398898.75862, 1039997.47748 
53.94459, 398859.18541, 1038367.38739 
53.83367, 398819.55506, 1036737.29730 
53.72286, 398779.86738, 1035107.20721 
53.61219, 398740.12217, 1033477.11712 
53.50163, 398700.31927, 1031847.02703 
53.39119, 398660.45847, 1030216.93694 
53.28088, 398620.53959, 1028586.84685 
53.17068, 398580.56244, 1026956.75676 
53.06061, 398540.52682, 1025326.66667 
52.95066, 398500.43255, 1023696.57658 
52.84082, 398460.27943, 1022066.48649 
52.73111, 398420.06727, 1020436.39640 
52.62151, 398379.79588, 1018806.30631 
52.51204, 398339.46505, 1017176.21622 
52.40268, 398299.07459, 1015546.12613 
52.29345, 398258.62431, 1013916.03604 
52.18433, 398218.11400, 1012285.94595 
52.07533, 398177.54349, 1010655.85586 
51.96644, 398136.91253, 1009025.76577 
51.85768, 398096.22094, 1007395.67568 
51.74903, 398055.46852, 1005765.58559 
51.64050, 398014.65509, 1004135.49550 
51.53209, 397973.78039, 1002505.40541 
51.42379, 397932.84428, 1000875.31532 
51.31561, 397891.84651, 999245.22523 
51.20755, 397850.78689, 997615.13514 
51.09960, 397809.66523, 995985.04505 
50.99177, 397768.48128, 994354.95495 
50.88405, 397727.23486, 992724.86486 
50.77645, 397685.92574, 991094.77477 
50.66896, 397644.55371, 989464.68468 
50.56159, 397603.11857, 987834.59459 
50.45433, 397561.62009, 986204.50450 
50.34719, 397520.05807, 984574.41441 
50.24016, 397478.43229, 982944.32432 
50.13325, 397436.74252, 981314.23423 
50.02645, 397394.98856, 979684.14414 
49.91976, 397353.17018, 978054.05405 
49.81318, 397311.28715, 976423.96396 
49.70672, 397269.33927, 974793.87387 
49.60037, 397227.32630, 973163.78378 
49.49414, 397185.24802, 971533.69369 
49.38801, 397143.10421, 969903.60360 
49.28200, 397100.89464, 968273.51351 
49.17610, 397058.61909, 966643.42342 
49.07031, 397016.27732, 965013.33333 
48.96463, 396973.86910, 963383.24324 
48.85906, 396931.39421, 961753.15315 
48.75361, 396888.85241, 960123.06306 
48.64826, 396846.24347, 958492.97297 
48.54303, 396803.56716, 956862.88288 
48.43790, 396760.82323, 955232.79279 
48.33288, 396718.01146, 953602.70270 
48.22798, 396675.13161, 951972.61261 
48.12318, 396632.18343, 950342.52252 
48.01850, 396589.16669, 948712.43243 
47.91392, 396546.08114, 947082.34234 
47.80945, 396502.92655, 945452.25225 
47.70509, 396459.70266, 943822.16216 
47.60083, 396416.40924, 942192.07207 
47.49669, 396373.04604, 940561.98198 
47.39265, 396329.61280, 938931.89189 
47.28873, 396286.10928, 937301.80180 
47.18490, 396242.53524, 935671.71171 
47.08119, 396198.89041, 934041.62162 
46.97758, 396155.17455, 932411.53153 
46.87408, 396111.38740, 930781.44144 
46.77069, 396067.52871, 929151.35135 
46.66740, 396023.59821, 927521.26126 
46.56422, 395979.59566, 925891.17117 
46.46114, 395935.52079, 924261.08108 
46.35817, 395891.37334, 922630.99099 
46.25531, 395847.15305, 921000.90090 
46.15255, 395802.85966, 919370.81081 
46.04989, 395758.49289, 917740.72072 
45.94735, 395714.05249, 916110.63063 
45.84490, 395669.53819, 914480.54054 
45.74256, 395624.94972, 912850.45045 
45.64032, 395580.28680, 911220.36036 
45.53819, 395535.54916, 909590.27027 
45.43616, 395490.73654, 907960.18018 
45.33424, 395445.84866, 906330.09009 
45.23242, 395400.88523, 904700.00000 
45.13070, 395355.84599, 903069.90991 
45.02908, 395310.73065, 901439.81982 
44.92757, 395265.53894, 899809.72973 
44.82616, 395220.27056, 898179.63964 
44.72485, 395174.92524, 896549.54955 
44.62365, 395129.50270, 894919.45946 
44.52254, 395084.00263, 893289.36937 
44.42154, 395038.42476, 891659.27928 
44.32064, 394992.76880, 890029.18919 
44.21984, 394947.03445, 888399.09910 
44.11914, 394901.22143, 886769.00901 
44.01854, 394855.32943, 885138.91892 
43.91804, 394809.35816, 883508.82883 
43.81765, 394763.30732, 881878.73874 
43.71735, 394717.17661, 880248.64865 
43.61715, 394670.96574, 878618.55856 
43.51706, 394624.67439, 876988.46847 
43.41706, 394578.30227, 875358.37838 
43.31716, 394531.84907, 873728.28829 
43.21736, 394485.31447, 872098.19820 
43.11767, 394438.69818, 870468.10811 
43.01806, 394391.99987, 868838.01802 
42.91856, 394345.21924, 867207.92793 
42.81916, 394298.35597, 865577.83784 
42.71985, 394251.40975, 863947.74775 
42.62065, 394204.38025, 862317.65766 
42.52154, 394157.26715, 860687.56757 
42.42253, 394110.07014, 859057.47748 
42.32361, 394062.78889, 857427.38739 
42.22480, 394015.42307, 855797.29730 
42.12608, 393967.97237, 854167.20721 
42.02745, 393920.43643, 852537.11712 
41.92893, 393872.81495, 850907.02703 
41.83050, 393825.10758, 849276.93694 
41.73216, 393777.31398, 847646.84685 
41.63393, 393729.43383, 846016.75676 
41.53578, 393681.46679, 844386.66667 
41.43774, 393633.41250, 842756.57658 
41.33979, 393585.27063, 841126.48649 
41.24193, 393537.04084, 839496.39640 
41.14417, 393488.72278, 837866.30631 
41.04651, 393440.31610, 836236.21622 
40.94894, 393391.82045, 834606.12613 
40.85146, 393343.23547, 832976.03604 
40.75408, 393294.56082, 831345.94595 
40.65680, 393245.79613, 829715.85586 
40.55960, 393196.94105, 828085.76577 
40.46250, 393147.99521, 826455.67568 
40.36550, 393098.95826, 824825.58559 
40.26859, 393049.82983, 823195.49550 
40.17177, 393000.60954, 821565.40541 
40.07504, 392951.29704, 819935.31532 
39.97841, 392901.89194, 818305.22523 
39.88187, 392852.39388, 816675.13514 
39.78542, 392802.80248, 815045.04505 
39.68907, 392753.11736, 813414.95495 
39.59280, 392703.33815, 811784.86486 
39.49663, 392653.46445, 810154.77477 
39.40055, 392603.49588, 808524.68468 
39.30457, 392553.43206, 806894.59459 
39.20867, 392503.27259, 805264.50450 
39.11287, 392453.01709, 803634.41441 
39.01715, 392402.66516, 802004.32432 
38.92153, 392352.21640, 800374.23423 
38.82600, 392301.67041, 798744.14414 
38.73056, 392251.02679, 797114.05405 
38.63521, 392200.28515, 795483.96396 
38.53994, 392149.44506, 793853.87387 
38.44477, 392098.50613, 792223.78378 
38.34969, 392047.46794, 790593.69369 
38.25470, 391996.33007, 788963.60360 
38.15980, 391945.09212, 787333.51351 
38.06499, 391893.75366, 785703.42342 
37.97026, 391842.31426, 784073.33333 
37.87563, 391790.77352, 782443.24324 
37.78108, 391739.13099, 780813.15315 
37.68663, 391687.38625, 779183.06306 
37.59226, 391635.53887, 777552.97297 
37.49798, 391583.58841, 775922.88288 
37.40378, 391531.53444, 774292.79279 
37.30968, 391479.37651, 772662.70270 
37.21566, 391427.11418, 771032.61261 
37.12173, 391374.74701, 769402.52252 
37.02789, 391322.27455, 767772.43243 
36.93414, 391269.69634, 766142.34234 
36.84047, 391217.01193, 764512.25225 
36.74689, 391164.22087, 762882.16216 
36.65340, 391111.32269, 761252.07207 
36.55999, 391058.31693, 759621.98198 
36.46667, 391005.20313, 757991.89189 
36.37343, 390951.98081, 756361.80180 
36.28029, 390898.64951, 754731.71171 
36.18722, 390845.20875, 753101.62162 
36.09425, 390791.65804, 751471.53153 
36.00135, 390737.99692, 749841.44144 
35.90855, 390684.22490, 748211.35135 
35.81583, 390630.34148, 746581.26126 
35.72319, 390576.34640, 744951.17117 
35.63064, 390522.23873, 743321.08108 
35.53817, 390468.01819, 741690.99099 
35.44579, 390413.68427, 740060.90090 
35.35350, 390359.23648, 738430.81081 
35.26128, 390304.67431, 736800.72072 
35.16915, 390249.99724, 735170.63063 
35.07711, 390195.20477, 733540.54054 
34.98515, 390140.29637, 731910.45045 
34.89327, 390085.27153, 730280.36036 
34.80148, 390030.12973, 728650.27027 
34.70976, 389974.87043, 727020.18018 
34.61814, 389919.49311, 725390.09009 
34.52659, 389863.99723, 723760.00000 
34.43513, 389808.38225, 722129.90991 
34.34375, 389752.64764, 720499.81982 
34.25245, 389696.79284, 718869.72973 
34.16124, 389640.81732, 717239.63964 
34.07010, 389584.72051, 715609.54955 
